gen_id,answer,mfv_code,model
1,5,203,gpt-4
2,5,203,gpt-4
3,5,203,gpt-4
4,5,203,gpt-4
5,5,203,gpt-4
6,5,203,gpt-4
7,5,203,gpt-4
8,5,203,gpt-4
9,5,203,gpt-4
10,5,203,gpt-4
11,5,203,gpt-4
12,5,203,gpt-4
13,5,203,gpt-4
14,5,203,gpt-4
15,5,203,gpt-4
16,5,203,gpt-4
17,5,203,gpt-4
18,5,203,gpt-4
19,5,203,gpt-4
20,5,203,gpt-4
21,5,203,gpt-4
22,5,203,gpt-4
23,5,203,gpt-4
24,5,203,gpt-4
25,5,203,gpt-4
26,5,203,gpt-4
27,5,203,gpt-4
28,5,203,gpt-4
29,5,203,gpt-4
30,5,203,gpt-4
31,5,203,gpt-4
32,5,203,gpt-4
33,5,203,gpt-4
34,5,203,gpt-4
35,5,203,gpt-4
36,5,203,gpt-4
37,5,203,gpt-4
38,5,203,gpt-4
39,5,203,gpt-4
40,5,203,gpt-4
41,5,203,gpt-4
42,5,203,gpt-4
43,5,203,gpt-4
44,5,203,gpt-4
45,5,203,gpt-4
46,5,203,gpt-4
47,5,203,gpt-4
48,5,203,gpt-4
49,5,203,gpt-4
50,5,203,gpt-4
51,5,203,gpt-4
52,5,203,gpt-4
53,5,203,gpt-4
54,5,203,gpt-4
55,5,203,gpt-4
56,5,203,gpt-4
57,5,203,gpt-4
58,5,203,gpt-4
59,5,203,gpt-4
60,5,203,gpt-4
61,5,203,gpt-4
62,5,203,gpt-4
63,5,203,gpt-4
64,5,203,gpt-4
65,5,203,gpt-4
66,5,203,gpt-4
67,5,203,gpt-4
68,5,203,gpt-4
69,5,203,gpt-4
70,5,203,gpt-4
71,5,203,gpt-4
72,5,203,gpt-4
73,5,203,gpt-4
74,5,203,gpt-4
75,5,203,gpt-4
76,5,203,gpt-4
77,5,203,gpt-4
78,5,203,gpt-4
79,5,203,gpt-4
80,5,203,gpt-4
81,5,203,gpt-4
82,5,203,gpt-4
83,5,203,gpt-4
84,5,203,gpt-4
85,5,203,gpt-4
86,5,203,gpt-4
87,5,203,gpt-4
88,5,203,gpt-4
89,5,203,gpt-4
90,5,203,gpt-4
91,5,203,gpt-4
92,5,203,gpt-4
93,5,203,gpt-4
94,5,203,gpt-4
95,5,203,gpt-4
96,5,203,gpt-4
97,5,203,gpt-4
98,5,203,gpt-4
99,5,203,gpt-4
100,5,203,gpt-4
101,5,203,gpt-4
102,5,203,gpt-4
103,5,203,gpt-4
104,5,203,gpt-4
105,5,203,gpt-4
106,5,203,gpt-4
107,5,203,gpt-4
108,5,203,gpt-4
