agent,id,condition,answer,code
Gemini Pro,13,vq,4,chaos
Gemini Pro,13,vq,3,god
Gemini Pro,13,vq,3,treated
Gemini Pro,13,vq,3,loyalty
Gemini Pro,13,vq,5,decency
Gemini Pro,13,vq,3,betray
Gemini Pro,13,vq,4,respect
Gemini Pro,13,vq,4,traditions
Gemini Pro,13,vq,5,lovecountry
Gemini Pro,13,vq,1,math
Gemini Pro,13,vq,5,cruel
Gemini Pro,13,vq,5,weak
Gemini Pro,13,vq,4,disgusting
Gemini Pro,13,vq,4,rights
Gemini Pro,13,vq,4,unfairly
Gemini Pro,13,vq,4,emotionally
Gemini Pro,13,vq,5,harmlessdg
Gemini Pro,13,vq,4,team
Gemini Pro,13,vq,3,sexroles
Gemini Pro,13,vq,5,justice
Gemini Pro,13,vq,5,family
Gemini Pro,13,vq,5,compassion
Gemini Pro,13,vq,5,kill
Gemini Pro,13,vq,4,history
Gemini Pro,13,vq,3,unnatural
Gemini Pro,13,vq,5,kidrespect
Gemini Pro,13,vq,3,chastity
Gemini Pro,13,vq,5,good
Gemini Pro,13,vq,5,rich
Gemini Pro,13,vq,4,soldier
Gemini Pro,13,vq,5,fairly
Gemini Pro,13,vq,5,animal
Gemini Pro,52,qv,2,traditions
Gemini Pro,52,qv,1,betray
Gemini Pro,52,qv,1,lovecountry
Gemini Pro,52,qv,5,unfairly
Gemini Pro,52,qv,5,cruel
Gemini Pro,52,qv,4,treated
Gemini Pro,52,qv,3,loyalty
Gemini Pro,52,qv,2,disgusting
Gemini Pro,52,qv,3,emotionally
Gemini Pro,52,qv,1,god
Gemini Pro,52,qv,0,math
Gemini Pro,52,qv,3,respect
Gemini Pro,52,qv,5,rights
Gemini Pro,52,qv,4,chaos
Gemini Pro,52,qv,5,weak
Gemini Pro,52,qv,2,decency
Gemini Pro,52,qv,5,kill
Gemini Pro,52,qv,4,rich
Gemini Pro,52,qv,3,unnatural
Gemini Pro,52,qv,5,animal
Gemini Pro,52,qv,4,harmlessdg
Gemini Pro,52,qv,3,chastity
Gemini Pro,52,qv,5,good
Gemini Pro,52,qv,4,history
Gemini Pro,52,qv,5,justice
Gemini Pro,52,qv,4,family
Gemini Pro,52,qv,4,kidrespect
Gemini Pro,52,qv,5,compassion
Gemini Pro,52,qv,3,soldier
Gemini Pro,52,qv,2,sexroles
Gemini Pro,52,qv,5,fairly
Gemini Pro,52,qv,2,team
Gemini Pro,93,vq,5,respect
Gemini Pro,93,vq,4,decency
Gemini Pro,93,vq,1,math
Gemini Pro,93,vq,5,cruel
Gemini Pro,93,vq,4,chaos
Gemini Pro,93,vq,5,emotionally
Gemini Pro,93,vq,3,traditions
Gemini Pro,93,vq,2,god
Gemini Pro,93,vq,5,rights
Gemini Pro,93,vq,5,unfairly
Gemini Pro,93,vq,4,disgusting
Gemini Pro,93,vq,5,weak
Gemini Pro,93,vq,4,loyalty
Gemini Pro,93,vq,5,treated
Gemini Pro,93,vq,4,betray
Gemini Pro,93,vq,3,lovecountry
Gemini Pro,93,vq,5,good
Gemini Pro,93,vq,5,animal
Gemini Pro,93,vq,4,kidrespect
Gemini Pro,93,vq,5,kill
Gemini Pro,93,vq,5,justice
Gemini Pro,93,vq,3,chastity
Gemini Pro,93,vq,4,history
Gemini Pro,93,vq,5,fairly
Gemini Pro,93,vq,5,compassion
Gemini Pro,93,vq,4,soldier
Gemini Pro,93,vq,3,family
Gemini Pro,93,vq,5,rich
Gemini Pro,93,vq,2,unnatural
Gemini Pro,93,vq,3,sexroles
Gemini Pro,93,vq,3,harmlessdg
Gemini Pro,93,vq,2,team
GPT-4,0,qv,5,emotionally
GPT-4,0,qv,2,traditions
GPT-4,0,qv,3,loyalty
GPT-4,0,qv,0,math
GPT-4,0,qv,4,betray
GPT-4,0,qv,5,rights
GPT-4,0,qv,5,unfairly
GPT-4,0,qv,3,lovecountry
GPT-4,0,qv,4,treated
GPT-4,0,qv,3,god
GPT-4,0,qv,4,chaos
GPT-4,0,qv,3,disgusting
GPT-4,0,qv,2,respect
GPT-4,0,qv,5,cruel
GPT-4,0,qv,5,weak
GPT-4,0,qv,3,decency
GPT-4,0,qv,3,team
GPT-4,0,qv,2,unnatural
GPT-4,0,qv,4,kill
GPT-4,0,qv,5,compassion
GPT-4,0,qv,3,rich
GPT-4,0,qv,5,good
GPT-4,0,qv,2,harmlessdg
GPT-4,0,qv,3,chastity
GPT-4,0,qv,3,sexroles
GPT-4,0,qv,5,fairly
GPT-4,0,qv,5,animal
GPT-4,0,qv,4,history
GPT-4,0,qv,4,kidrespect
GPT-4,0,qv,2,soldier
GPT-4,0,qv,3,family
GPT-4,0,qv,5,justice
GPT-4,2,qv,5,treated
GPT-4,2,qv,0,math
GPT-4,2,qv,0,god
GPT-4,2,qv,5,chaos
GPT-4,2,qv,1,traditions
GPT-4,2,qv,5,emotionally
GPT-4,2,qv,1,decency
GPT-4,2,qv,5,rights
GPT-4,2,qv,5,unfairly
GPT-4,2,qv,2,lovecountry
GPT-4,2,qv,4,betray
GPT-4,2,qv,3,respect
GPT-4,2,qv,5,weak
GPT-4,2,qv,4,loyalty
GPT-4,2,qv,2,disgusting
GPT-4,2,qv,5,cruel
GPT-4,2,qv,5,kidrespect
GPT-4,2,qv,3,history
GPT-4,2,qv,2,harmlessdg
GPT-4,2,qv,5,animal
GPT-4,2,qv,5,compassion
GPT-4,2,qv,3,soldier
GPT-4,2,qv,2,chastity
GPT-4,2,qv,1,sexroles
GPT-4,2,qv,4,rich
GPT-4,2,qv,5,justice
GPT-4,2,qv,5,fairly
GPT-4,2,qv,2,unnatural
GPT-4,2,qv,5,kill
GPT-4,2,qv,4,team
GPT-4,2,qv,5,good
GPT-4,2,qv,3,family
GPT-4,3,vq,0,god
